time,open,high,low,close,Lag 0
1709553600,65248.01,65662.75,64915.52,65152.39,89.77391362804
1709560800,65158.76,66655.35,64645.28,66515.06,89.73884382184
1709568000,66515.76,67570.5,66113.5,66917.08,89.7453006501
1709575200,66921.8,67520.13,66181.83,67463.06,89.70260428456
1709582400,67474.31,67886.75,66830.83,67456.69,89.7290688951
1709589600,67452.12,68462.12,67282.11,68285.06,89.74225585156
1709596800,68288.08,68717.24,67788.59,68574.15,89.817840249
1709604000,68578.73,68591.2,67601.31,68167.12,89.82023411494
1709611200,68172.45,68418.25,64867.25,66953.57,89.80213868008
1709618400,66947.41,67463.31,66171.56,66204.06,90.11673474784
1709625600,66192.05,66894.88,65579.27,66404.03,90.10652366686
1709632800,66412.56,67147.5,66411.05,66666.75,90.12785056972
1709640000,66672.09,68008.86,66610.8,67787.46,90.41317054846
1709647200,67786.88,69156.65,66458.7,66792.74,90.48287632304
1709654400,66783.92,66976.75,63368,65576.21,90.45308229572
1709661600,65568.67,65576.18,59173.92,61422.67,90.37114532188
1709668800,61426.98,64008.41,61251.99,63298.75,90.47556819922
1709676000,63293.08,64418.8,62520.77,63792.77,90.51955002184
1709683200,63798.34,64208.2,63126.81,63150.08,90.56939020214
1709690400,63149.39,63535.77,62838.38,63306.55,90.76909921572
1709697600,63309.8,66429.5,63301.76,66425.95,90.78599199194
1709704800,66419.51,66752.6,65533.95,66718.15,90.75045111378
1709712000,66691.82,67651.57,66071.02,66137.54,90.75495198264
1709719200,66136.79,67318.13,66129.29,67309.42,90.73621425862
1709726400,67305.98,67592.31,64569.07,66358.02,90.77991897896
1709733600,66344.51,67268.65,65331.7,66502.61,90.75811735798
1709740800,66505.39,67402.65,66313.02,67395.46,90.72730754136
1709748000,67393.25,67533.17,66701.6,66820.8,90.76557185876
1709755200,66820.3,67482.8,66357.92,66483.56,90.74356706682
1709762400,66477.8,66520.52,65762.05,66103.55,90.74743024626
1709769600,66102.85,66450.8,65621.41,66417.4,90.56031389668
1709776800,66434.27,66500.72,65867.19,65875.88,90.58065508934
1709784000,65879.13,66162.67,65697.91,65836.99,90.55392935534
1709791200,65835.94,66469.32,65724.83,66420.69,90.52317914122
1709798400,66412.9,67032.02,66383.02,66746.3,90.51121486966
1709805600,66758.64,67286.6,66534.22,66907.45,90.51121486966
1709812800,66909.7,67120.63,66623.94,66919.04,90.51121486966
1709820000,66932.07,67963.37,66652.1,67319.34,90.51121486966
1709827200,67312.94,68038.82,67073.53,67659.54,90.51121486966
1709834400,67654.86,67929.2,67289.86,67559.33,90.51121486966
1709841600,67563.33,68001.65,67161.23,67304.43,90.51121486966
1709848800,67310.68,67513.46,66867.62,66885.68,90.51121486966
1709856000,66884.48,67313.54,66820.72,67005.61,90.51121486966
1709863200,67006.38,67279.54,66903.16,67177.23,90.51121486966
1709870400,67182.17,67281.69,66847.48,66951.4,90.51121486966
1709877600,66949.18,67676.45,66894.35,67322,90.51121486966
1709884800,67320.01,67462.34,67127.51,67172.38,90.51121486966
1709892000,67173.23,67755.76,67158.25,67750.75,90.51121486966
1709899200,67753.6,67930.25,67353.28,67845.77,90.51121486966
1709906400,67846.3,70055.5,67263.63,67695.83,90.51121486966
1709913600,67686.46,68864.38,65933.78,68428.39,90.51121486966
1709920800,68414.62,68958.45,68154.72,68957.4,90.51121486966
1709928000,68959.4,69462.05,67969.18,68331.49,90.51121486966
1709935200,68336.2,68543.32,68131.72,68227.79,90.51121486966
1709942400,68229.29,68356.14,67967.45,68014.41,90.51121486966
1709949600,68014.72,68392.03,67981.71,68351.25,90.51121486966
1709956800,68353.25,68414.04,68223.51,68313.06,90.51121486966
1709964000,68313.75,68609.58,68240.3,68374.23,90.51121486966
1709971200,68371.69,68518.89,68272.25,68373.08,90.51121486966
1709978400,68374.83,68431.27,68079.17,68382.4,90.50070749278
1709985600,68383.61,68633.66,68282.33,68460.47,90.44420543848
1709992800,68460.72,68492.4,68210.78,68384.44,90.47649410486
